self.name,n_leave_voters,n_remain_voters,n_undecided_voters
Simulation 0,[1423,860,217]
Simulation 1,[1456,832,212]
Simulation 2,[1425,839,236]
Simulation 3,[1537,736,227]
Simulation 4,[1438,810,252]
Simulation 5,[1457,828,215]
Simulation 6,[1465,804,231]
Simulation 7,[1430,862,208]
Simulation 8,[1439,833,228]
Simulation 9,[1408,850,242]
Simulation 10,[1423,841,236]
Simulation 11,[1428,831,241]
Simulation 12,[1382,883,235]
Simulation 13,[1449,809,242]
Simulation 14,[1457,811,232]
Simulation 15,[1368,864,268]
Simulation 16,[1419,849,232]
Simulation 17,[1432,826,242]
Simulation 18,[1401,873,226]
Simulation 19,[1440,820,240]
Simulation 20,[1393,861,246]
Simulation 21,[1476,776,248]
Simulation 22,[1395,866,239]
Simulation 23,[1350,918,232]
Simulation 24,[1460,807,233]
Simulation 25,[1413,851,236]
Simulation 26,[1420,858,222]
Simulation 27,[1409,848,243]
Simulation 28,[1400,851,249]
Simulation 29,[1414,875,211]
Simulation 30,[1402,850,248]
Simulation 31,[1399,881,220]
Simulation 32,[1355,915,230]
Simulation 33,[1375,891,234]
Simulation 34,[1430,821,249]
Simulation 35,[1444,822,234]
Simulation 36,[1429,838,233]
Simulation 37,[1384,871,245]
Simulation 38,[1391,876,233]
Simulation 39,[1390,870,240]
Simulation 40,[1361,896,243]
Simulation 41,[1428,842,230]
Simulation 42,[1435,826,239]
Simulation 43,[1391,886,223]
Simulation 44,[1382,866,252]
Simulation 45,[1398,861,241]
Simulation 46,[1404,859,237]
Simulation 47,[1395,863,242]
Simulation 48,[1451,797,252]
Simulation 49,[1425,865,210]
Simulation 50,[1446,814,240]
Simulation 51,[1359,891,250]
Simulation 52,[1432,814,254]
Simulation 53,[1439,821,240]
Simulation 54,[1417,845,238]
Simulation 55,[1337,909,254]
Simulation 56,[1334,938,228]
Simulation 57,[1432,841,227]
Simulation 58,[1518,764,218]
Simulation 59,[1415,837,248]
Simulation 60,[1394,857,249]
Simulation 61,[1401,847,252]
Simulation 62,[1413,867,220]
Simulation 63,[1378,874,248]
Simulation 64,[1363,878,259]
Simulation 65,[1427,825,248]
Simulation 66,[1363,901,236]
Simulation 67,[1398,834,268]
Simulation 68,[1426,824,250]
Simulation 69,[1483,796,221]
Simulation 70,[1493,769,238]
Simulation 71,[1434,832,234]
Simulation 72,[1469,807,224]
Simulation 73,[1443,832,225]
Simulation 74,[1425,840,235]
Simulation 75,[1439,830,231]
Simulation 76,[1375,886,239]
Simulation 77,[1428,812,260]
Simulation 78,[1430,858,212]
Simulation 79,[1431,840,229]
Simulation 80,[1429,827,244]
Simulation 81,[1402,845,253]
Simulation 82,[1365,900,235]
Simulation 83,[1417,852,231]
Simulation 84,[1390,889,221]
Simulation 85,[1471,802,227]
Simulation 86,[1451,815,234]
Simulation 7,[1449,806,245]
Simulation 88,[1420,826,254]
Simulation 89,[1372,867,261]
Simulation 90,[1368,872,260]
Simulation 91,[1405,833,262]
Simulation 92,[1447,812,241]
Simulation 93,[1455,812,233]
Simulation 94,[1439,824,237]
Simulation 95,[1469,800,231]
Simulation 96,[1344,914,242]
Simulation 97,[1365,866,269]
Simulation 98,[1372,907,221]
Simulation 99,[1389,885,226]
Simulation 100,[1401,848,251]
