self.name,n_leave_voters,n_remain_voters,n_undecided_voters
Simulation 0,[594,1681,225]
Simulation 1,[618,1668,214]
Simulation 2,[623,1647,230]
Simulation 3,[590,1706,204]
Simulation 4,[623,1674,203]
Simulation 5,[623,1654,223]
Simulation 6,[574,1711,215]
Simulation 7,[621,1652,227]
Simulation 8,[628,1670,202]
Simulation 9,[660,1641,199]
Simulation 10,[549,1735,216]
Simulation 11,[585,1701,214]
Simulation 12,[593,1703,204]
Simulation 13,[584,1709,207]
Simulation 14,[557,1751,192]
Simulation 15,[600,1668,232]
Simulation 16,[603,1696,201]
Simulation 17,[552,1738,210]
Simulation 18,[613,1661,226]
Simulation 19,[560,1747,193]
Simulation 20,[561,1686,253]
Simulation 21,[578,1715,207]
Simulation 22,[594,1720,186]
Simulation 23,[575,1695,230]
Simulation 24,[632,1661,207]
Simulation 25,[609,1675,216]
Simulation 26,[523,1743,234]
Simulation 27,[589,1702,209]
Simulation 28,[592,1699,209]
Simulation 29,[574,1717,209]
Simulation 30,[573,1703,224]
Simulation 31,[579,1702,219]
Simulation 32,[561,1721,218]
Simulation 33,[601,1666,233]
Simulation 34,[558,1754,188]
Simulation 35,[520,1784,196]
Simulation 36,[585,1698,217]
Simulation 37,[619,1673,208]
Simulation 38,[555,1743,202]
Simulation 39,[577,1699,224]
Simulation 40,[579,1721,200]
Simulation 41,[572,1740,188]
Simulation 42,[610,1675,215]
Simulation 43,[556,1749,195]
Simulation 44,[576,1727,197]
Simulation 45,[601,1656,243]
Simulation 46,[619,1634,247]
Simulation 47,[611,1685,204]
Simulation 48,[562,1737,201]
Simulation 49,[554,1730,216]
Simulation 50,[541,1742,217]
Simulation 51,[645,1634,221]
Simulation 52,[567,1712,221]
Simulation 53,[562,1745,193]
Simulation 54,[590,1696,214]
Simulation 55,[596,1683,221]
Simulation 56,[601,1689,210]
Simulation 57,[568,1721,211]
Simulation 58,[571,1729,200]
Simulation 59,[575,1709,216]
Simulation 60,[569,1719,212]
Simulation 61,[599,1693,208]
Simulation 62,[561,1734,205]
Simulation 63,[613,1665,222]
Simulation 64,[644,1655,201]
Simulation 65,[593,1706,201]
Simulation 66,[577,1692,231]
Simulation 67,[626,1682,192]
Simulation 68,[593,1706,201]
Simulation 69,[599,1706,195]
Simulation 70,[591,1682,227]
Simulation 71,[552,1725,223]
Simulation 72,[649,1611,240]
Simulation 73,[589,1695,216]
Simulation 74,[600,1693,207]
Simulation 75,[631,1651,218]
Simulation 76,[570,1733,197]
Simulation 77,[582,1729,189]
Simulation 8,[588,1736,176]
Simulation 79,[600,1710,190]
Simulation 80,[596,1664,240]
Simulation 81,[611,1684,205]
Simulation 82,[635,1653,212]
Simulation 83,[573,1716,211]
Simulation 84,[559,1736,205]
Simulation 85,[594,1715,191]
Simulation 86,[609,1691,200]
Simulation 87,[581,1720,199]
Simulation 88,[580,1720,200]
Simulation 89,[594,1674,232]
Simulation 90,[587,1720,193]
Simulation 91,[545,1747,208]
Simulation 92,[603,1679,218]
Simulation 93,[550,1742,208]
Simulation 94,[598,1696,206]
Simulation 95,[613,1676,211]
Simulation 96,[576,1707,217]
Simulation 97,[667,1617,216]
Simulation 98,[569,1728,203]
Simulation 99,[564,1733,203]
Simulation 100,[558,1715,227]
