self.name,n_leave_voters,n_remain_voters,n_undecided_voters
Simulation 0,[1040,1198,262]
Simulation 1,[1066,1194,240]
Simulation 2,[965,1283,252]
Simulation 3,[1025,1224,251]
Simulation 4,[1005,1250,245]
Simulation 5,[1066,1173,261]
Simulation 6,[1045,1213,242]
Simulation 7,[990,1256,254]
Simulation 8,[991,1288,221]
Simulation 9,[1034,1212,254]
Simulation 10,[1007,1257,236]
Simulation 11,[998,1249,253]
Simulation 12,[987,1289,224]
Simulation 13,[1063,1204,233]
Simulation 14,[1040,1225,235]
Simulation 15,[985,1261,254]
Simulation 16,[1044,1208,248]
Simulation 17,[1091,1157,252]
Simulation 18,[1046,1215,239]
Simulation 19,[1076,1160,264]
Simulation 20,[1003,1240,257]
Simulation 21,[996,1261,243]
Simulation 22,[1035,1223,242]
Simulation 23,[1033,1205,262]
Simulation 24,[915,1313,272]
Simulation 25,[946,1297,257]
Simulation 26,[1006,1222,272]
Simulation 27,[1054,1209,237]
Simulation 28,[993,1259,248]
Simulation 29,[1069,1202,229]
Simulation 30,[1022,1222,256]
Simulation 31,[1042,1207,251]
Simulation 32,[991,1276,233]
Simulation 33,[939,1304,257]
Simulation 34,[1037,1181,282]
Simulation 35,[1059,1206,235]
Simulation 36,[1041,1203,256]
Simulation 37,[1054,1202,244]
Simulation 38,[1008,1251,241]
Simulation 39,[936,1313,251]
Simulation 40,[986,1253,261]
Simulation 41,[986,1282,232]
Simulation 42,[1050,1198,252]
Simulation 43,[1015,1231,254]
Simulation 44,[958,1295,247]
Simulation 45,[1045,1203,252]
Simulation 46,[999,1262,239]
Simulation 47,[1037,1226,237]
Simulation 48,[999,1249,252]
Simulation 49,[1029,1226,245]
Simulation 50,[1000,1268,232]
Simulation 51,[945,1283,272]
Simulation 2,[965,1267,268]
Simulation 53,[1011,1249,240]
Simulation 4,[1017,1247,236]
Simulation 55,[990,1256,254]
Simulation 6,[1021,1237,242]
Simulation 57,[1079,1190,231]
Simulation 58,[1049,1213,238]
Simulation 59,[1053,1228,219]
Simulation 60,[1009,1221,270]
Simulation 61,[1041,1206,253]
Simulation 62,[1015,1221,264]
Simulation 63,[1045,1242,213]
Simulation 64,[998,1256,246]
Simulation 65,[961,1282,257]
Simulation 66,[919,1345,236]
Simulation 67,[946,1296,258]
Simulation 68,[1013,1246,241]
Simulation 69,[940,1317,243]
Simulation 70,[969,1289,242]
Simulation 71,[950,1291,259]
Simulation 72,[1032,1207,261]
Simulation 73,[993,1285,222]
Simulation 74,[1035,1188,277]
Simulation 75,[972,1280,248]
Simulation 76,[971,1285,244]
Simulation 77,[1031,1242,227]
Simulation 78,[987,1266,247]
Simulation 9,[959,1318,223]
Simulation 80,[1004,1247,249]
Simulation 81,[1049,1202,249]
Simulation 82,[973,1290,237]
Simulation 83,[1006,1246,248]
Simulation 84,[1007,1262,231]
Simulation 85,[1027,1234,239]
Simulation 86,[1071,1163,266]
Simulation 87,[1004,1282,214]
Simulation 88,[1000,1230,270]
Simulation 9,[1118,1114,268]
Simulation 90,[919,1336,245]
Simulation 91,[1074,1165,261]
Simulation 92,[1007,1245,248]
Simulation 93,[1011,1258,231]
Simulation 94,[1134,1156,210]
Simulation 95,[979,1267,254]
Simulation 96,[1072,1177,251]
Simulation 97,[1079,1175,246]
Simulation 98,[945,1286,269]
Simulation 99,[958,1310,232]
Simulation 100,[1041,1222,237]
